time,accel x,accel y,accel z,gryo x,gyro y,gyro z
1515642484802,0.15074158,4.199402,7.898712,-0.21417236,-0.19688416,-0.42474365
1515642484906,-0.62931824,5.3240356,7.688141,-0.08589172,-0.13822937,-0.16572571
1515642485011,0.117248535,5.8863373,10.82991,-0.0077056885,0.2832489,-0.019134521
1515642485115,0.8566284,4.6325073,13.115067,-0.0016174316,0.15740967,-0.2695923
1515642485218,-0.1268158,3.275772,7.9130707,0.2684021,-0.04660034,-0.04966736
1515642485324,0.29193115,3.139389,8.293518,0.13400269,-0.22253418,0.17388916
1515642485427,0.16749573,3.6681976,6.8650055,-0.17384338,-0.19076538,-0.052124023
1515642485530,-0.06460571,4.3334045,8.123627,-0.14331055,-0.100357056,-0.019134521
1515642485634,0.7393799,5.7355957,9.784256,0.12911987,-0.28971863,-0.06311035
1515642485736,2.0243225,6.0514526,9.915863,-0.14697266,-0.6647949,-0.5383606
1515642485838,0.071777344,3.213562,7.721634,0.40522766,0.25027466,-0.20117188
1515642485944,1.9788666,3.4337006,6.857834,-0.045578003,-0.1504364,-0.8755646
1515642486047,-0.6029968,3.2638092,6.5611267,-0.21661377,-0.42045593,-0.5530243
1515642486150,-0.17706299,5.0847473,9.265015,-0.40109253,-0.17611694,-0.39909363
1515642486253,-0.5383911,6.0179443,7.9704895,0.058258057,0.07676697,-0.10954285
1515642486355,-0.5144501,5.8743744,7.585251,-0.3766632,0.27713013,-0.2805786
1515642486457,-0.21534729,3.8763733,11.155334,0.31115723,0.5813446,-0.33067322
1515642486559,-0.5431671,2.9312134,6.6592255,0.35147095,-0.30560303,0.07247925
